No.,Symbol,Company Name,Market Cap ,Stock Price,% Change,Revenue
94,CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,9.27B,54.52,-0.57%,1.09B
95,CTC,"Canadian Tire Corporation, Limited",9.05B,234.99,-1.12%,16.35B
96,CTC.A,"Canadian Tire Corporation, Limited",9.05B,160.31,1.66%,16.35B
97,BLCO,Bausch + Lomb Corporation,9.02B,25.61,-0.12%,6.15B
98,BIPC,Brookfield Infrastructure Corporation,8.29B,57.95,1.01%,4.49B
99,EDV,Endeavour Mining plc,8.24B,33.7,-0.30%,2.93B
100,QBR.A,Quebecor Inc.,8.20B,35,-0.06%,5.67B
101,QBR.B,Quebecor Inc.,8.15B,34.76,-0.77%,5.67B
102,CLS,Celestica Inc.,8.10B,70.16,2.56%,12.02B
103,CS,Capstone Copper Corp.,7.80B,10.9,6.24%,1.93B
104,CAE,CAE Inc.,7.72B,24.92,3.02%,4.34B
105,PSLV,Sprott Physical Silver Trust,7.35B,14.52,0.97%,-
106,LUG,Lundin Gold Inc.,7.18B,29.93,0.74%,1.27B
107,U.UN,Sprott Physical Uranium Trust Fund,7.14B,26.85,0.19%,-
108,ONEX,Onex Corporation,7.02B,96.47,3.22%,1.50B
109,MEG,MEG Energy Corp.,6.89B,24.36,-5.21%,5.62B
110,CEF,Sprott Physical Gold and Silver Trust,6.83B,33.76,0.45%,1.25B
111,BBU.UN,Brookfield Business Partners L.P.,6.75B,31.47,-0.08%,70.85B
112,PSK,PrairieSky Royalty Ltd.,6.65B,27.16,-2.44%,492.60M
113,CPX,Capital Power Corporation,6.63B,50.86,1.58%,3.88B
114,NVEI,Nuvei Corporation,6.36B,44.85,-0.20%,1.79B
115,DFY,Definity Financial Corporation,6.32B,54.99,-0.04%,4.03B
116,WCP,Whitecap Resources Inc.,6.11B,9.93,-3.97%,3.37B
117,REI.UN,RioCan Real Estate Investment Trust,6.11B,20.36,0.15%,1.23B
118,FTT,Finning International Inc.,6.08B,43.94,5.40%,10.87B
119,NPI,Northland Power Inc.,6.04B,23.42,2.49%,2.42B
120,PKI,Parkland Corporation,6.02B,34.57,0.47%,30.92B
121,AC,Air Canada,5.78B,16.67,3.41%,22.26B
122,BTO,B2Gold Corp.,5.76B,4.45,1.37%,2.66B
123,ATZ,Aritzia Inc.,5.70B,51.36,1.52%,2.37B
124,SCR,Strathcona Resources Ltd.,5.70B,26.61,-3.20%,4.74B
125,AQN,Algonquin Power & Utilities Corp.,5.63B,7.34,1.52%,3.60B
126,DOO,BRP Inc.,5.62B,81.56,2.30%,9.03B
127,PRMW,Primo Water Corporation,5.45B,32.71,-3.79%,2.53B
128,ACO.X,ATCO Ltd.,5.39B,48.18,1.45%,4.72B
129,ACO.Y,ATCO Ltd.,5.32B,46.8,-,4.72B
130,VRN,Veren Inc.,5.26B,8.17,-4.33%,3.84B
131,CWB,Canadian Western Bank,5.14B,54.3,2.14%,1.06B
132,ELD,Eldorado Gold Corporation,5.08B,24.91,1.05%,1.51B
133,NXE,NexGen Energy Ltd.,5.08B,8.99,0.22%,-
134,GRT.UN,Granite Real Estate Investment Trust,5.07B,80.73,-0.04%,540.51M
135,HBM,Hudbay Minerals Inc.,5.00B,12.7,7.63%,2.78B
136,SJ,Stella-Jones Inc.,4.99B,87.63,-1.25%,3.46B
137,CHP.UN,Choice Properties Real Estate Investment Trust,4.94B,15.06,-0.40%,1.44B
138,OR,Osisko Gold Royalties Ltd,4.69B,25.6,1.71%,252.83M
139,TFPM,Triple Flag Precious Metals Corp.,4.68B,23.38,0.60%,304.21M
140,KXS,Kinaxis Inc.,4.46B,158.25,1.25%,626.45M
141,BYD,Boyd Group Services Inc.,4.38B,203.98,-0.01%,4.17B
142,ELF,E-L Financial Corporation Limited,4.37B,"1,298.00",-,3.16B
143,FIL,Filo Corp.,4.32B,32.53,1.53%,-
144,PBH,Premium Brands Holdings Corporation,4.28B,95.79,-0.49%,6.36B
145,BEI.UN,Boardwalk Real Estate Investment Trust,4.26B,85.75,-0.55%,573.10M
146,IMG,IAMGOLD Corporation,4.24B,7.44,-,1.71B
147,CSH.UN,Chartwell Retirement Residences,4.20B,15.33,-0.97%,782.24M
148,TA,TransAlta Corporation,4.17B,14.11,1.00%,3.17B
149,BHC,Bausch Health Companies Inc.,4.01B,10.93,0.92%,12.59B
150,EQB,EQB Inc.,3.98B,104.04,0.27%,1.12B
151,DIR.UN,Dream Industrial Real Estate Investment Trust,3.97B,14.47,0.49%,480.64M
152,FCR.UN,First Capital Real Estate Investment Trust,3.97B,18.78,0.43%,731.06M
153,SRU.UN,SmartCentres Real Estate Investment Trust,3.89B,26.9,0.15%,939.90M
154,LNR,Linamar Corporation,3.85B,63.83,2.06%,10.46B
155,POU,Paramount Resources Ltd.,3.79B,25.48,-1.16%,1.79B
156,ATS,ATS Corporation,3.77B,40.67,5.64%,2.97B
157,CRT.UN,CT Real Estate Investment Trust,3.76B,15.97,-,566.11M
158,EQX,Equinox Gold Corp.,3.72B,8.68,1.28%,1.50B
159,TPZ,Topaz Energy Corp.,3.67B,24.81,-2.05%,325.17M
160,MX,Methanex Corporation,3.67B,55.76,2.48%,4.90B
161,GEI,Gibson Energy Inc.,3.66B,22.4,-0.49%,12.56B
162,BLX,Boralex Inc.,3.64B,36.13,2.09%,959.00M
163,STLC,Stelco Holdings Inc.,3.62B,66.74,0.26%,2.85B
164,PRU,Perseus Mining Limited,3.40B,2.5,3.10%,1.40B
165,TOY,Spin Master Corp.,3.39B,32.99,4.70%,2.66B
166,NGD,New Gold Inc.,3.32B,4.2,-1.18%,1.11B
167,CEE,Centamin plc,3.31B,2.85,1.79%,1.27B
168,CIA,Champion Iron Limited,3.27B,6.46,8.57%,1.69B
169,LSPD,Lightspeed Commerce Inc.,3.21B,22.11,4.54%,1.32B
170,ERO,Ero Copper Corp.,3.06B,31.06,4.79%,608.33M
171,BTE,Baytex Energy Corp.,3.06B,3.86,-5.39%,3.43B
172,HR.UN,H&R Real Estate Investment Trust,3.03B,11.56,0.96%,1.03B
173,SES,Secure Energy Services Inc.,3.00B,12.44,-1.43%,9.96B
174,GSY,goeasy Ltd.,3.00B,177.92,-0.19%,794.25M
175,CURA,"Curaleaf Holdings, Inc.",2.97B,4.1,2.50%,1.86B
176,CRR.UN,Crombie Real Estate Investment Trust,2.91B,16,0.63%,453.36M
177,CCA,Cogeco Communications Inc.,2.91B,70.09,1.20%,2.97B
178,PEY,Peyto Exploration & Development Corp.,2.87B,14.65,-1.28%,901.99M
179,WPK,Winpak Ltd.,2.86B,45.97,1.30%,1.52B
180,OGC,OceanaGold Corporation,2.76B,3.93,0.77%,1.37B
181,AP.UN,Allied Properties Real Estate Investment Trust,2.75B,19.88,0.91%,582.68M
182,FIH.U,Fairfax India Holdings Corporation,2.72B,14.92,-0.27%,553.32M
183,MFI,Maple Leaf Foods Inc.,2.68B,22.1,1.56%,4.85B
184,ATH,Athabasca Oil Corporation,2.67B,4.71,-4.27%,1.31B
185,CIX,CI Financial Corp.,2.63B,18.38,0.66%,3.50B
186,DPM,Dundee Precious Metals Inc.,2.55B,14.17,0.28%,741.58M
187,AIF,Altus Group Limited,2.53B,55.19,0.27%,783.05M
188,SSL,Sandstorm Gold Ltd.,2.53B,8.43,-0.94%,232.68M
189,KMP.UN,Killam Apartment REIT,2.52B,21.1,0.33%,356.70M
190,AYA,Aya Gold & Silver Inc.,2.49B,19.1,3.13%,56.85M
191,EIF,Exchange Income Corporation,2.46B,51.77,1.99%,2.61B
192,NWC,The North West Company Inc.,2.46B,51.43,1.24%,2.52B
193,BBUC,Brookfield Business Corporation,2.43B,34,1.16%,10.54B
194,CGG,China Gold International Resources Corp. Ltd.,2.42B,6.22,1.97%,468.27M
195,RUS,Russel Metals Inc.,2.36B,41.2,1.96%,4.26B
196,FN,First National Financial Corporation,2.32B,39.2,1.14%,711.26M
197,TXG,Torex Gold Resources Inc.,2.30B,26.97,0.71%,1.30B
198,GLXY,Galaxy Digital Holdings Ltd.,2.30B,18.35,13.62%,-
199,NVA,NuVista Energy Ltd.,2.27B,10.73,-2.98%,1.23B
200,DML,Denison Mines Corp.,2.26B,2.52,-0.40%,4.03M
201,NFI,NFI Group Inc.,2.23B,19.02,1.66%,4.21B
202,CG,Centerra Gold Inc.,2.22B,10.49,3.86%,1.74B
203,RCH,Richelieu Hardware Ltd.,2.20B,40.18,1.85%,1.80B
204,TVE,Tamarack Valley Energy Ltd.,2.18B,3.8,-6.17%,1.48B
205,FVI,Fortuna Mining Corp.,2.15B,6.87,1.78%,1.36B
206,GMIN,G Mining Ventures Corp.,2.15B,10,-0.50%,-
207,CJT,Cargojet Inc.,2.13B,138.38,5.18%,897.90M
208,MAG,MAG Silver Corp.,2.12B,20.59,1.43%,-
209,SEA,Seabridge Gold Inc.,2.12B,23.91,1.06%,-
210,CXB,Calibre Mining Corp.,2.11B,2.68,0.75%,772.87M
211,IPCO,International Petroleum Corporation,2.11B,16.5,-5.44%,1.21B
212,NGEX,NGEx Minerals Ltd.,2.10B,11.67,5.61%,-
213,LIF,Labrador Iron Ore Royalty Corporation,2.10B,33.42,1.86%,211.01M
214,TLRY,"Tilray Brands, Inc.",2.08B,2.33,2.64%,1.08B
215,FRU,Freehold Royalties Ltd.,2.08B,13.78,-2.75%,323.04M
216,VET,Vermilion Energy Inc.,2.07B,12.87,-2.20%,1.81B
217,INE,Innergex Renewable Energy Inc.,2.07B,10.54,3.64%,1.06B
218,BB,BlackBerry Limited,2.04B,3.45,6.81%,851.35M
219,TSU,Trisura Group Ltd.,2.03B,42.73,0.21%,3.07B
220,LNF,Leon's Furniture Limited,2.03B,30,0.98%,2.53B
221,MDA,MDA Space Ltd.,2.02B,17.19,2.14%,860.80M
222,WDO,Wesdome Gold Mines Ltd.,1.97B,13.34,1.29%,400.64M
223,KNT,K92 Mining Inc.,1.96B,8.24,-0.12%,295.24M
224,SIL,SilverCrest Metals Inc.,1.96B,13.76,4.40%,357.95M
225,NG,NovaGold Resources Inc.,1.96B,5.88,0.51%,-
226,SPB,Superior Plus Corp.,1.92B,7.82,1.30%,3.30B
227,CFP,Canfor Corporation,1.90B,16.42,2.31%,5.36B
228,IIP.UN,InterRent Real Estate Investment Trust,1.89B,12.92,0.78%,245.13M
229,TVK,TerraVest Industries Inc.,1.89B,95.32,-1.61%,855.09M
230,PET,Pet Valu Holdings Ltd.,1.87B,25.95,1.72%,1.08B
231,SVI,StorageVault Canada Inc.,1.85B,5.02,1.01%,295.52M
232,OSK,Osisko Mining Inc.,1.85B,4.85,-0.21%,-
233,ENGH,Enghouse Systems Limited,1.85B,34.12,2.34%,499.93M
234,DCBO,Docebo Inc.,1.82B,60.62,0.61%,274.06M
235,OLA,Orla Mining Ltd.,1.80B,5.61,0.36%,376.50M
236,MEQ,Mainstreet Equity Corp.,1.77B,192.06,0.90%,238.63M
237,FOM,Foran Mining Corporation,1.74B,4.4,6.28%,-
238,CEU,CES Energy Solutions Corp.,1.67B,7.23,-6.10%,2.23B
239,HPS.A,Hammond Power Solutions Inc.,1.62B,135.69,-6.81%,754.37M
240,SSRM,SSR Mining Inc.,1.61B,8.26,3.77%,1.68B
241,DNTL,dentalcorp Holdings Ltd.,1.57B,8.29,0.48%,1.47B
242,SIA,Sienna Senior Living Inc.,1.56B,16.94,0.18%,844.19M
243,SIS,Savaria Corporation,1.55B,21.73,1.02%,857.72M
244,WTE,Westshore Terminals Investment Corporation,1.55B,25.08,1.09%,379.34M
245,PMZ.UN,Primaris Real Estate Investment Trust,1.54B,16.09,0.69%,457.86M
246,HUT,Hut 8 Corp.,1.54B,17.02,0.71%,235.39M
247,AND,Andlauer Healthcare Group Inc.,1.52B,39.25,1.32%,648.41M
248,AAV,Advantage Energy Ltd.,1.50B,8.84,-1.89%,501.15M
249,HWX,Headwater Exploration Inc.,1.50B,6.33,-3.51%,484.24M
250,GATO,"Gatos Silver, Inc.",1.50B,22.07,1.80%,-
251,SII,Sprott Inc.,1.49B,60.44,3.30%,249.57M
252,BIR,Birchcliff Energy Ltd.,1.48B,5.43,-1.45%,655.97M
253,JWEL,Jamieson Wellness Inc.,1.46B,35.39,0.63%,684.71M
254,TCL.A,Transcontinental Inc.,1.44B,17.23,1.23%,2.84B
255,TCL.B,Transcontinental Inc.,1.44B,17.09,-0.06%,2.84B
256,ASTL,Algoma Steel Group Inc.,1.42B,13.86,1.46%,2.62B
257,GOOS,Canada Goose Holdings Inc.,1.42B,15.99,9.15%,1.34B
258,NWH.UN,NorthWest Healthcare Properties Real Estate Investment Trust,1.41B,5.72,-0.17%,523.85M
259,UNC,United Corporations Limited,1.41B,126.5,1.18%,421.33M
260,MRC,Morguard Corporation,1.38B,127.07,-0.64%,1.19B
261,EDR,Endeavour Silver Corp.,1.36B,5.78,4.33%,303.73M
262,DRM,Dream Unlimited Corp.,1.36B,33.2,2.79%,576.89M
263,ZCPB,BMO Mutual Funds - BMO Core Plus Bond Fund,1.34B,28.47,-,-
264,SVM,Silvercorp Metals Inc.,1.31B,6.28,3.97%,311.16M
265,BITF,Bitfarms Ltd.,1.30B,2.97,3.13%,236.37M
266,TIXT,TELUS International (Cda) Inc.,1.30B,4.85,2.97%,3.65B
267,BDGI,Badger Infrastructure Solutions Ltd.,1.29B,37.51,0.51%,981.45M
268,IE,Ivanhoe Electric Inc.,1.29B,11.88,10.82%,3.84M
269,ARE,Aecon Group Inc.,1.27B,20.66,1.97%,4.07B
270,BDT,Bird Construction Inc.,1.27B,23.39,2.27%,3.14B
271,MTL,Mullen Group Ltd.,1.26B,14.24,-0.90%,1.96B
272,ALS,Altius Minerals Corporation,1.26B,27.03,1.92%,62.38M
273,CHE.UN,Chemtrade Logistics Income Fund,1.25B,10.9,1.68%,1.77B
274,SKE,Skeena Resources Limited,1.23B,11.52,-0.52%,-
275,KEL,Kelt Exploration Ltd.,1.23B,6.06,-3.50%,415.74M
276,EFR,Energy Fuels Inc.,1.22B,7.51,-0.40%,62.41M
277,KRR,Karora Resources Inc.,1.21B,6.7,2.45%,435.05M
278,PXT,Parex Resources Inc.,1.20B,11.72,-1.92%,1.66B
279,LAS.A,Lassonde Industries Inc.,1.20B,174,-1.14%,2.38B
280,PD,Precision Drilling Corporation,1.19B,81.73,-3.28%,1.91B
281,ZZZ,Sleep Country Canada Holdings Inc.,1.18B,34.95,0.03%,953.56M
282,LB,Laurentian Bank of Canada,1.18B,27.26,1.56%,947.10M
283,ORA,Aura Minerals Inc.,1.17B,16.22,0.43%,686.30M
284,ARIS,Aris Mining Corporation,1.14B,6.64,-1.04%,638.14M
285,CRON,Cronos Group Inc.,1.13B,2.95,4.61%,139.29M
286,CYB,Cymbria Corporation,1.12B,71.85,-0.21%,-
287,SFTC,Softchoice Corporation,1.11B,18.52,0.65%,1.04B
288,SOY,SunOpta Inc.,1.08B,9.22,1.65%,941.64M
289,MTY,MTY Food Group Inc.,1.08B,45.44,2.78%,1.16B
290,HRX,Héroux-Devtek Inc.,1.08B,31.95,-,663.07M
291,WELL,WELL Health Technologies Corp.,1.08B,4.4,1.85%,910.42M
292,DND,Dye & Durham Limited,1.07B,15.67,-1.69%,457.70M
293,CR,Crew Energy Inc.,1.06B,6.74,-1.89%,304.96M
294,PRL,Propel Holdings Inc.,1.06B,31.05,1.04%,523.42M
295,CVG,Clairvest Group Inc.,1.05B,70,-1.41%,38.72M
296,PSI,Pason Systems Inc.,1.03B,12.92,-0.31%,387.00M
297,CAS,Cascades Inc.,1.03B,10.18,1.09%,4.63B
298,AFN,Ag Growth International Inc.,1.03B,54.49,1.23%,1.46B
299,CJ,Cardinal Energy Ltd.,1.02B,6.36,-0.63%,513.51M
300,ADEN,ADENTRA Inc.,1.02B,42.07,3.42%,2.95B
301,IFP,Interfor Corporation,1.01B,19.79,1.23%,3.20B
302,EFX,Enerflex Ltd.,992.36M,7.9,-1.25%,3.25B
303,TKO,Taseko Mines Limited,964.98M,3.56,8.21%,582.21M
304,MATR,Mattr Corp.,953.76M,14.2,-1.39%,914.49M
305,GCG,Guardian Capital Group Limited,946.77M,40.69,-,251.52M
306,GCG.A,Guardian Capital Group Limited,946.77M,40.78,-1.45%,251.52M
307,CPLF,Copperleaf Technologies Inc.,943.38M,11.99,0.08%,94.14M
308,TCW,Trican Well Service Ltd.,943.21M,4.84,1.04%,991.15M
309,CMG,Computer Modelling Group Ltd.,933.90M,11.33,-0.70%,118.45M
310,PLC,Park Lawn Corporation,904.87M,26.48,-0.04%,448.21M
311,ET,Evertz Technologies Limited,902.25M,11.86,0.17%,500.44M
312,RUP,Rupert Resources Ltd.,895.43M,4.34,4.58%,-
313,FSZ,Fiera Capital Corporation,874.50M,8.09,3.06%,702.61M
314,TPX.B,Molson Coors Canada Inc.,873.36M,73.68,-,2.89B
315,AAUC,Allied Gold Corporation,852.51M,3.3,-0.30%,995.06M
316,FCU,Fission Uranium Corp.,850.18M,1.03,4.04%,-
317,MRE,Martinrea International Inc.,849.73M,11.71,2.27%,5.30B
318,GDI,GDI Integrated Facility Services Inc.,844.33M,35.96,-0.80%,2.52B
319,SGR.UN,Slate Grocery REIT,835.51M,14.34,1.49%,286.14M
320,CF,Canaccord Genuity Group Inc.,834.57M,8.85,2.67%,1.46B
321,AX.UN,Artis Real Estate Investment Trust,830.13M,8,0.13%,200.81M
322,CGI,"Canadian General Investments, Limited",824.02M,39.5,-,201.31M
323,CTS,Converge Technology Solutions Corp.,818.01M,4.48,6.67%,2.64B
324,AD.UN,Alaris Equity Partners Income Trust,807.59M,17.86,0.62%,215.71M
325,SEC,Senvest Capital Inc.,802.82M,328,-,162.84M
326,SFC,Sagicor Financial Company Ltd.,795.74M,5.6,-1.06%,2.56B
327,LAC,Lithium Americas Corp.,795.70M,3.65,11.28%,-
328,PPTA,Perpetua Resources Corp.,791.05M,13.61,11.19%,-
329,AOI,Africa Oil Corp.,788.57M,1.73,-2.81%,-
330,EXE,Extendicare Inc.,782.92M,9.38,0.54%,1.39B
331,CUP.U,"Caribbean Utilities Company, Ltd.",739.84M,13.99,-2.85%,393.83M
332,RSI,Rogers Sugar Inc.,736.80M,5.8,0.69%,1.21B
333,PBL,Pollard Banknote Limited,730.22M,27.1,0.41%,528.21M
334,MRG.UN,Morguard North American Residential Real Estate Investment Trust,714.82M,19.31,0.36%,344.99M
335,DHT.UN,DRI Healthcare Trust,711.69M,12.66,6.12%,265.05M
336,DHT.U,DRI Healthcare Trust,711.69M,8.92,0.11%,265.05M
337,FEC,Frontera Energy Corporation,710.55M,7.96,-5.69%,1.58B
338,DTOL,D2L Inc.,694.20M,12.75,-1.32%,264.31M
339,TF,Timbercreek Financial Corp.,684.83M,8.25,1.35%,86.86M
340,MKP,MCAN Mortgage Corporation,684.28M,17.93,0.34%,131.16M
341,MDI,Major Drilling Group International Inc.,679.28M,8.43,1.57%,697.85M
342,MI.UN,Minto Apartment Real Estate Investment Trust,675.79M,16.97,0.24%,157.96M
343,CGX,Cineplex Inc.,675.07M,10.6,0.95%,1.30B
344,BLDP,Ballard Power Systems Inc.,673.67M,2.37,5.33%,142.70M
345,SDE,Spartan Delta Corp.,672.02M,3.63,-6.44%,289.70M
346,NOA,North American Construction Group Ltd.,670.77M,24.74,-1.04%,1.09B
347,DBM,Doman Building Materials Group Ltd.,669.48M,7.76,1.17%,2.46B
348,MUX,McEwen Mining Inc.,663.03M,13.7,6.12%,254.28M
349,REAL,Real Matters Inc.,660.91M,9.06,0.67%,231.70M
350,AR,Argonaut Gold Inc.,659.92M,0.52,4.00%,551.40M
351,HOM.U,BSR Real Estate Investment Trust,639.28M,14.01,-1.89%,230.47M
352,HOM.UN,BSR Real Estate Investment Trust,638.28M,19.11,-,230.47M
353,NXR.UN,Nexus Industrial REIT,634.56M,8.94,-0.78%,167.21M
354,LAAC,Lithium Americas (Argentina) Corp.,632.33M,4.4,12.53%,-
355,WFC,Wall Financial Corporation,626.62M,19.47,-0.10%,186.46M
356,MNT,Royal Canadian Mint - Canadian Gold Reserves,623.63M,36.87,0.33%,-
357,APR.UN,Automotive Properties Real Estate Investment Trust,613.19M,12.5,1.46%,93.60M
358,TAL,PetroTal Corp.,602.81M,0.62,-6.06%,440.51M
359,KEC,Kiwetinohk Energy Corp.,600.44M,13.6,-1.09%,459.22M
360,TCS,Tecsys Inc.,598.79M,40.49,-1.63%,171.54M
361,URE,Ur-Energy Inc.,597.75M,1.62,-1.82%,21.69M
362,BDI,Black Diamond Group Limited,597.51M,9.78,-,389.97M
363,SGY,Surge Energy Inc.,596.89M,5.95,-1.49%,570.31M
364,VNP,5N Plus Inc.,596.59M,6.73,0.45%,366.26M
365,GUD,Knight Therapeutics Inc.,596.00M,5.85,-0.85%,337.87M
366,SOLG,SolGold Plc,591.00M,0.2,-,-
367,ALC,Algoma Central Corporation,590.26M,14.75,1.37%,697.39M
